caso_id,nombre_caso,modulo,subproceso,tipo_prueba,prioridad,estado,severidad_defecto,defecto_id,ambiente,release,tester,fecha_ejecucion,duracion_min,evidencia,automatizado
TC-0001,Validar cuotas,Préstamos,Pagos,COB/EOD,Crítica,Aprobado,Sin defecto,,UAT,R25,Miguel,2026-07-15,48,Sí,Sí
TC-0002,Validar pagos,Préstamos,Reversos,Funcional,Alta,Aprobado,Sin defecto,,UAT,R25,Carlos,2026-07-01,59,Sí,Sí
TC-0003,Validar internas,Transferencias,Interbancarias,COB/EOD,Media,Fallido,Alta,DEF-1003,QA,R25,Carlos,2026-08-09,27,Sí,Sí
TC-0004,Validar desembolso,Préstamos,Desembolso,COB/EOD,Alta,Aprobado,Sin defecto,,UAT,R25,Ana,2026-08-16,64,Sí,No
TC-0005,Validar apertura,Cuentas,Apertura,Regresión,Media,Aprobado,Sin defecto,,QA,R25,Elena,2026-07-25,74,Sí,No
TC-0006,Validar interbancarias,Transferencias,Límites,API,Media,Fallido,Media,DEF-1006,UAT,R25,Ana,2026-07-02,18,Sí,No
TC-0007,Validar cargos,Cuentas,Cierre,Regresión,Alta,Aprobado,Sin defecto,,UAT,R25,Carlos,2026-07-07,64,Sí,No
TC-0008,Validar cargos,Cuentas,Cierre,COB/EOD,Alta,Aprobado,Sin defecto,,QA,R25,Carlos,2026-07-21,55,Sí,Sí
TC-0009,Validar pagos,Tarjetas,Pagos,API,Alta,Aprobado,Sin defecto,,SIT,R25,Elena,2026-07-25,27,Sí,No
TC-0010,Validar pagos,Tarjetas,Bloqueo,Regresión,Crítica,Aprobado,Sin defecto,,QA,R25,Miguel,2026-07-20,25,Sí,No
TC-0011,Validar cargos,Cuentas,Mantenimiento,COB/EOD,Media,Fallido,Crítica,DEF-1011,SIT,R25,Elena,2026-07-08,69,No,No
TC-0012,Validar consumos,Tarjetas,Consumos,COB/EOD,Alta,Aprobado,Sin defecto,,QA,R25,Laura,2026-07-13,34,Sí,No
TC-0013,Validar actualización,Clientes,Creación,Seguridad,Alta,Aprobado,Sin defecto,,SIT,R25,José,2026-08-13,52,Sí,No
TC-0014,Validar consumos,Tarjetas,Emisión,Seguridad,Alta,Aprobado,Sin defecto,,QA,R25,Miguel,2026-08-12,58,Sí,No
TC-0015,Validar mantenimiento,Cuentas,Cargos,Funcional,Alta,Aprobado,Sin defecto,,QA,R25,Elena,2026-07-19,36,Sí,Sí
TC-0016,Validar reversos,Transferencias,Reversos,API,Media,Aprobado,Sin defecto,,UAT,R25,Miguel,2026-07-04,38,Sí,No
TC-0017,Validar debida diligencia,Clientes,Debida diligencia,Seguridad,Alta,No ejecutado,Sin defecto,,QA,R25,Laura,2026-07-07,0,No,Sí
TC-0018,Validar bloqueo,Clientes,Creación,Funcional,Alta,Aprobado,Sin defecto,,SIT,R25,Ana,2026-07-14,54,Sí,Sí
TC-0019,Validar consumos,Tarjetas,Bloqueo,COB/EOD,Alta,Aprobado,Sin defecto,,UAT,R25,Carlos,2026-07-10,55,Sí,No
TC-0020,Validar pagos,Préstamos,Reversos,Funcional,Media,Aprobado,Sin defecto,,UAT,R25,Laura,2026-08-10,21,Sí,No
TC-0021,Validar bloqueo,Clientes,Creación,Funcional,Media,Fallido,Baja,DEF-1021,QA,R25,Miguel,2026-07-22,55,No,Sí
TC-0022,Validar reversos,Préstamos,Desembolso,Integración,Media,No ejecutado,Sin defecto,,QA,R25,Ana,2026-07-14,0,No,No
TC-0023,Validar interbancarias,Transferencias,Interbancarias,API,Media,Fallido,Media,DEF-1006,SIT,R25,Laura,2026-07-20,72,Sí,No
TC-0024,Validar reversos,Pagos,LBTR,Funcional,Media,Aprobado,Sin defecto,,SIT,R25,José,2026-07-27,37,Sí,No
TC-0025,Validar reversos,Transferencias,Interbancarias,Funcional,Baja,Bloqueado,Alta,DEF-1025,SIT,R25,Laura,2026-08-01,39,No,Sí
TC-0026,Validar reversos,Transferencias,Internas,Integración,Baja,Aprobado,Sin defecto,,SIT,R25,Miguel,2026-07-12,57,No,No
